longitude,latitude,total_rooms,median_income,ocean_proximity,median_house_value
-122.23,37.88,880,8.3252,NEAR BAY,452600
-122.22,37.86,7099,8.3014,NEAR BAY,358500
-122.24,37.85,1467,7.2574,NEAR BAY,352100
-122.25,37.85,1274,5.6431,NEAR BAY,341300
-122.25,37.85,1627,3.8462,NEAR BAY,342200
-122.25,37.85,919,4.0368,NEAR BAY,269700
-122.25,37.84,2535,3.6591,NEAR BAY,299200
-122.25,37.84,3104,3.12,NEAR BAY,241400
-122.26,37.84,2555,2.0804,NEAR BAY,226700
-122.25,37.84,3549,3.6912,NEAR BAY,261100
-122.26,37.85,2202,3.2031,NEAR BAY,281500
-122.26,37.85,3503,3.2705,NEAR BAY,241800
-122.26,37.85,2491,3.075,NEAR BAY,213500
-122.26,37.84,696,2.6736,NEAR BAY,191300
-122.26,37.85,2643,1.9167,NEAR BAY,159200
-122.26,37.85,1120,2.125,NEAR BAY,140000
-122.27,37.85,1966,2.775,NEAR BAY,152500
-122.27,37.85,1228,2.1202,NEAR BAY,155500
-122.26,37.84,2239,1.9911,NEAR BAY,158700
-122.27,37.84,1503,2.6033,NEAR BAY,162900
-122.27,37.85,751,1.3578,NEAR BAY,147500
-122.27,37.85,1639,1.7135,NEAR BAY,159800
-122.27,37.84,2436,1.725,NEAR BAY,113900
-122.27,37.84,1688,2.1806,NEAR BAY,99700
-122.27,37.84,2224,2.6,NEAR BAY,132600
-122.28,37.85,535,2.4038,NEAR BAY,107500
-122.28,37.85,1130,2.4597,NEAR BAY,93800
-122.28,37.85,1898,1.808,NEAR BAY,105500
-122.28,37.84,2082,1.6424,NEAR BAY,108900
-122.28,37.84,729,1.6875,NEAR BAY,132000
-122.28,37.84,1916,1.9274,NEAR BAY,122300
-122.28,37.84,2153,1.9615,NEAR BAY,115200
-122.27,37.84,1922,1.7969,NEAR BAY,110400
-122.27,37.83,1655,1.375,NEAR BAY,104900
-122.27,37.83,2665,2.7303,NEAR BAY,109700
-122.27,37.83,1215,1.4861,NEAR BAY,97200
-122.27,37.83,1798,1.0972,NEAR BAY,104500
-122.28,37.83,1511,1.4103,NEAR BAY,103900
-122.26,37.83,1470,3.48,NEAR BAY,191400
-122.26,37.83,2432,2.5898,NEAR BAY,176000
-122.26,37.83,1665,2.0978,NEAR BAY,155400
-122.26,37.83,936,1.2852,NEAR BAY,150000
-122.26,37.84,713,1.025,NEAR BAY,118800
-122.26,37.84,950,3.9643,NEAR BAY,188800
-122.26,37.83,1443,3.0125,NEAR BAY,184400
-122.26,37.83,1656,2.6768,NEAR BAY,182300
-122.26,37.83,1125,2.026,NEAR BAY,142500
-122.27,37.82,1007,1.7348,NEAR BAY,137500
-122.26,37.82,624,0.9506,NEAR BAY,187500
-122.27,37.82,946,1.775,NEAR BAY,112500
-122.27,37.82,896,0.9218,NEAR BAY,171900
-122.27,37.82,1868,1.5045,NEAR BAY,93800
-122.27,37.82,3221,1.1108,NEAR BAY,97500
-122.27,37.82,1630,1.2475,NEAR BAY,104200
-122.28,37.82,1170,1.6098,NEAR BAY,87500
